"Legislaturperiode";"Patei";"Wahlkreis";"Stimmen";"Stimmenprozent"
16;"DIE LINKE";51;8096;5.6
16;"NPD";51;1597;1.1
16;"Die Tierschutzpartei";51;986;0.7
16;"PBC";51;230;0.2
16;"BüSo";51;78;0.1
16;"MLPD";51;127;0.1
16;"SPD";52;67936;46.7
16;"CDU";52;46352;31.9
16;"FDP";52;11368;7.8
16;"GRÜNE";52;8297;5.7
16;"DIE LINKE";52;6567;4.5
16;"NPD";52;2601;1.8
16;"Die Tierschutzpartei";52;988;0.7
16;"PBC";52;442;0.3
16;"BüSo";52;56;0.0
16;"MLPD";52;62;0.0
16;"SPD";53;78632;45.9
16;"CDU";53;53595;31.3
16;"FDP";53;16163;9.4
16;"GRÜNE";53;9799;5.7
16;"DIE LINKE";53;8402;4.9
16;"NPD";53;2413;1.4
16;"Die Tierschutzpartei";53;1020;0.6
16;"PBC";53;290;0.2
16;"BüSo";53;95;0.1
16;"MLPD";53;53;0.0
16;"SPD";54;75126;42.1
16;"CDU";54;54431;30.5
16;"FDP";54;15980;9.0
16;"GRÜNE";54;19066;10.7
16;"DIE LINKE";54;9267;5.2
16;"NPD";54;2353;1.3
16;"Die Tierschutzpartei";54;941;0.5
16;"PBC";54;232;0.1
16;"BüSo";54;94;0.1
16;"MLPD";54;85;0.0
16;"SPD";55;77039;39.7
16;"CDU";55;46223;23.8
16;"GRÜNE";55;32198;16.6
16;"DIE LINKE";55;15817;8.1
16;"FDP";55;17186;8.9
16;"NPD";55;2085;1.1
16;"PBC";55;614;0.3
16;"MLPD";55;168;0.1
16;"SPD";56;78327;46.7
16;"CDU";56;36166;21.5
16;"GRÜNE";56;19402;11.6
16;"DIE LINKE";56;14753;8.8
16;"FDP";56;12143;7.2
16;"NPD";56;3256;1.9
16;"PBC";56;469;0.3
16;"MLPD";56;115;0.1
16;"SPD";57;45385;36.6
16;"DIE LINKE";57;32966;26.6
16;"CDU";57;27219;21.9
16;"FDP";57;7941;6.4
16;"GRÜNE";57;5510;4.4
16;"NPD";57;3400;2.7
16;"MLPD";57;227;0.2
16;"SPD";58;44371;36.2
16;"DIE LINKE";58;35772;29.2
16;"CDU";58;25204;20.6
16;"FDP";58;6585;5.4
16;"GRÜNE";58;4579;3.7
16;"NPD";58;3964;3.2
16;"MLPD";58;229;0.2
16;"SPD";59;65617;36.1
16;"DIE LINKE";59;40008;22.0
16;"CDU";59;40007;22.0
16;"FDP";59;14446;8.0
16;"GRÜNE";59;11868;6.5
16;"NPD";59;5828;3.2
16;"MLPD";59;332;0.2
16;"SPD";60;64590;34.7
16;"DIE LINKE";60;55493;29.8
16;"CDU";60;34858;18.7
16;"FDP";60;12233;6.6
16;"GRÜNE";60;9020;4.8
16;"NPD";60;6290;3.4
16;"MLPD";60;380;0.2
16;"SPD";61;54128;37.6
16;"DIE LINKE";61;38172;26.5
16;"CDU";61;29083;20.2
16;"FDP";61;9494;6.6
16;"GRÜNE";61;6442;4.5
16;"NPD";61;4224;2.9
16;"MLPD";61;340;0.2
16;"SPD";62;66782;37.5
16;"DIE LINKE";62;42739;24.0
16;"CDU";62;33168;18.6
16;"FDP";62;13567;7.6
16;"GRÜNE";62;15766;8.8
16;"NPD";62;3162;1.8
16;"MLPD";62;353;0.2
16;"SPD";63;66478;36.7
16;"DIE LINKE";63;45267;25.0
16;"CDU";63;39057;21.5
16;"FDP";63;12869;7.1
16;"GRÜNE";63;8958;4.9
16;"NPD";63;5477;3.0
16;"MLPD";63;356;0.2
16;"SPD";64;55201;35.3
16;"DIE LINKE";64;45467;29.1
16;"CDU";64;29626;19.0
16;"FDP";64;9917;6.3
16;"GRÜNE";64;7078;4.5
16;"NPD";64;5602;3.6
16;"MLPD";64;500;0.3
16;"SPD";65;52699;35.9
16;"DIE LINKE";65;40410;27.5
16;"CDU";65;29234;19.9
16;"FDP";65;10193;6.9
16;"GRÜNE";65;6302;4.3
16;"NPD";65;5049;3.4
16;"MLPD";65;404;0.3
16;"SPD";66;46438;31.7
16;"DIE LINKE";66;40065;27.3
16;"CDU";66;34944;23.8
16;"FDP";66;10491;7.2
16;"GRÜNE";66;4730;3.2
16;"NPD";66;7284;4.97
16;"MLPD";66;393;0.3
16;"SPD";67;43852;33.0
16;"DIE LINKE";67;36503;27.5
16;"CDU";67;35087;26.4
16;"FDP";67;8372;6.3
16;"GRÜNE";67;4584;3.5
16;"NPD";67;2902;2.2
16;"MLPD";67;348;0.3
16;"REP";67;340;0.3
16;"SPD";68;58156;34.0
16;"DIE LINKE";68;42866;25.1
16;"CDU";68;45649;26.7
16;"FDP";68;12646;7.4
16;"GRÜNE";68;5698;3.3
16;"NPD";68;3977;2.3
