"Legislaturperiode";"Kandidat";"Partei";"Wahlkreis";"Stimmen";"Stimmenprozent"
17;1697;"DIE LINKE";62;48515;28.57
17;2443;"CDU";62;40708;23.97
17;3129;"FDP";62;12356;7.28
17;153;"GRÜNE";62;16479;9.7
17;3473;"NPD";62;3061;1.8
17;454;"SPD";63;53384;32.43
17;1668;"DIE LINKE";63;43348;26.33
17;3533;"CDU";63;40882;24.84
17;2100;"FDP";63;11959;7.27
17;2421;"GRÜNE";63;9041;5.49
17;1002;"NPD";63;5992;3.64
17;3258;"SPD";64;38470;28.55
17;2206;"DIE LINKE";64;43589;32.34
17;2532;"CDU";64;30153;22.37
17;2231;"FDP";64;10125;7.51
17;82;"GRÜNE";64;7502;5.57
17;162;"NPD";64;4928;3.66
17;2445;"SPD";65;34529;27.85
17;2166;"DIE LINKE";65;37224;30.03
17;1748;"CDU";65;29829;24.06
17;2175;"FDP";65;10878;8.78
17;733;"GRÜNE";65;5650;4.56
17;3515;"NPD";65;4806;3.88
17;2415;;65;1045;0.84
17;3521;"SPD";66;32688;26.92
17;329;"DIE LINKE";66;34324;28.26
17;3105;"CDU";66;35073;28.88
17;364;"FDP";66;8487;6.99
17;3505;"GRÜNE";66;3861;3.18
17;1559;"NPD";66;5513;4.54
17;1488;"Freie Union";66;915;0.75
17;338;;66;587;0.48
17;2101;"SPD";67;22070;19.99
17;1682;"DIE LINKE";67;36910;33.42
17;1338;"CDU";67;34501;31.24
17;1072;"FDP";67;6558;5.94
17;3014;"GRÜNE";67;3725;3.37
17;1500;"NPD";67;2461;2.23
17;2950;;67;3672;3.33
17;326;;67;257;0.23
17;479;;67;274;0.25
17;3491;"SPD";68;31994;22.4
17;3308;"DIE LINKE";68;41040;28.73
17;158;"CDU";68;46686;32.68
17;6;"FDP";68;13914;9.74
17;629;"GRÜNE";68;5041;3.53
17;3200;"NPD";68;3446;2.41
17;1765;;68;733;0.51
17;3053;"SPD";69;28732;20.35
17;2460;"DIE LINKE";69;43952;31.13
17;315;"CDU";69;46632;33.02
17;514;"FDP";69;10236;7.25
17;1693;"GRÜNE";69;7791;5.52
17;1165;"NPD";69;3862;2.74
17;1835;"SPD";70;32844;21.89
17;1093;"DIE LINKE";70;48069;32.04
17;1168;"CDU";70;46481;30.98
17;1526;"FDP";70;9890;6.59
17;754;"GRÜNE";70;8637;5.76
17;811;"NPD";70;2618;1.75
17;3428;"MLPD";70;626;0.42
17;880;;70;851;0.57
17;3468;"SPD";71;22187;18.4
17;2697;"DIE LINKE";71;36809;30.53
17;2297;"CDU";71;43424;36.01
17;77;"FDP";71;8810;7.31
17;1597;"GRÜNE";71;5004;4.15
17;1817;"NPD";71;2928;2.43
17;792;"MLPD";71;544;0.45
17;723;;71;878;0.73
17;1267;"SPD";72;30401;21.76
17;1581;"DIE LINKE";72;44087;31.56
17;3285;"CDU";72;43722;31.3
17;665;"FDP";72;10929;7.82
17;2957;"GRÜNE";72;4878;3.49
17;3236;"NPD";72;3649;2.61
17;1579;"MLPD";72;888;0.64
17;817;;72;1132;0.81
17;1613;"SPD";73;22341;16.27
17;2966;"DIE LINKE";73;46272;33.7
17;187;"CDU";73;42430;30.9
17;2320;"FDP";73;11760;8.56
17;450;"GRÜNE";73;11056;8.05
17;1898;"NPD";73;2483;1.81
17;2227;"MLPD";73;981;0.71
17;2447;"SPD";74;23592;18.88
17;417;"DIE LINKE";74;39610;31.7
17;3058;"CDU";74;41281;33.03
17;540;"FDP";74;11224;8.98
17;541;"GRÜNE";74;3950;3.16
17;1399;"NPD";74;4399;3.52
17;1311;;74;912;0.73
17;2744;"SPD";75;23028;17.22
17;1519;"DIE LINKE";75;47051;35.19
17;1114;"CDU";75;43014;32.17
17;3339;"FDP";75;10818;8.09
17;1008;"GRÜNE";75;5465;4.09
17;2568;"NPD";75;4337;3.24
17;1198;"SPD";76;33943;25.99
17;385;"CDU";76;28760;22.02
17;1761;"DIE LINKE";76;24871;19.04
17;3430;"GRÜNE";76;28108;21.52
17;1769;"FDP";76;8869;6.79
17;181;"NPD";76;2110;1.62
17;3522;"BüSo";76;951;0.73
