"Legislaturperiode";"Wahlkreis";"Gültige Erststimmen";"Gültige Zweitstimmen";"Wähler";"Wahlberechtigte"
17;205;151088;151645;154343;213225
17;206;187470;188478;191097;251837
17;207;144190;144593;147381;202156
17;208;150442;150711;153455;217445
17;209;160182;161168;164052;220974
17;210;159288;160184;163350;235030
17;211;126909;127860;131065;184220
17;212;152430;153120;156149;214215
17;213;110769;111286;112507;166775
17;214;138132;139203;140360;185961
17;215;147594;148519;149717;205531
17;216;188127;188728;190298;249131
17;217;173877;174701;176318;252615
17;218;156586;156922;158045;220785
17;219;168865;169306;170334;231017
17;220;154120;154666;155666;211617
17;221;171577;172052;173138;231682
17;222;183399;184005;185115;233952
17;223;159825;160368;161912;226483
17;224;187569;188598;190092;251039
17;225;140618;141182;142584;205115
17;226;181393;182128;183832;249153
17;227;93398;93873;94922;154767
17;228;168247;169481;171065;246833
17;229;116713;117125;118249;186068
17;230;102435;103260;104487;162109
17;231;111087;111363;112708;173068
17;232;150345;151979;153659;214616
17;233;169069;169547;171002;243083
17;234;141788;141982;143939;216044
17;235;122167;121756;124026;172011
17;236;127486;127879;129049;177197
17;237;115636;116316;117290;164344
17;238;114067;114579;115851;162834
17;239;124039;124361;126096;180735
17;240;127303;127117;128501;173473
17;241;169436;169870;171989;243953
17;242;134510;134754;135845;177261
17;243;177429;177911;179941;249703
17;244;133582;133964;135154;189738
17;245;123097;123415;124786;184672
17;246;168820;169384;171076;224946
17;247;132165;132708;135005;183872
17;248;159393;160152;162052;219607
17;249;144296;145193;147482;199081
17;250;142929;144183;146050;200116
17;251;167846;168462;170031;225807
17;252;134168;134209;135957;206196
17;253;174540;175270;177024;240672
17;254;131428;132122;133619;189097
17;255;161846;162888;164678;235775
17;256;156849;157239;158857;221708
17;257;167232;168030;170224;242341
17;258;140977;141384;142504;184454
17;259;127470;127720;129259;181088
17;260;182446;182669;185176;244919
17;261;123847;124108;125558;165210
17;262;152518;152971;154949;204091
17;263;127613;127856;129901;180442
17;264;161961;162381;164521;220220
17;265;153613;154171;156053;206805
17;266;167929;168374;170674;224090
17;267;165688;166229;168927;241035
17;268;151321;151790;154351;223234
17;269;124097;124412;126601;176381
17;270;156718;157065;159936;224418
