Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer;Geschlecht
;"Stephen";"Brauer";"FDP";1970;306;M
"Dr.";"Ralf";"Brauksiepe";"CDU";1967;307;M
"Dr.";"Bernhard";"Braun";"GRÜNE";1958;308;M
"Dr.";"Helge Reinhold";"Braun";"CDU";1972;309;M
;"Petra";"Braun";"MLPD";1957;310;W
;"Volker";"Braun";"NPD";1970;311;M
;"Manfred";"Brauner";"DIE LINKE";1960;312;M
;"von Harald-Ingo";"Bredow";"BP";1949;313;M
;"Ulrich Johannes";"Brehme";"ödp";1966;314;M
;"Heike";"Brehmer";"CDU";1962;315;W
;"Manfred Helmut";"Breidbach";"NPD";1968;316;M
;"Rolf";"Breidenbach";"FDP";1955;317;M
;"Klaus";"Breil";"FDP";1945;318;M
;"Elke";"Breitenbach";"DIE LINKE";1961;319;W
;"Thomas Achim";"Breitenfellner";"CSU";1982;320;M
;"Adolf Wilhelm";"Breitmeier";"ADM";1937;321;M
;"Hermann";"Brem";"GRÜNE";1961;322;M
;"Klaus";"Bremer";"MLPD";1952;323;M
"Dr.";"Gerd";"Brenner";"GRÜNE";1949;324;M
;"Ernst";"Brenning";"CDU";1952;325;M
;"Harald";"Bresch";;1962;326;M
;"Frank";"Bresonik";"FAMILIE";1969;327;M
;"Eveline";"Breyer";"CDU";1982;328;W
"Dr.";"Andreas";"Brie";"DIE LINKE";1950;329;M
;"Ralph";"Brinkhaus";"CDU";1968;330;M
;"Bernhard";"Brinkmann";"SPD";1952;331;M
;"Rüdiger";"Brocke von";"SPD";1957;332;M
;"Benjamin";"Brodnicki";"DVU";1986;333;M
;"Bernd";"Brodtrück";"BüSo";1970;334;M
;"Edith";"Brömsen";"DIE VIOLETTEN";1959;335;W
;"Dieter Manfred";"Brose";"NPD";1943;336;M
;"Martin";"Broziat";"FDP";1962;337;M
;"Andreas";"Brückner";;1968;338;M
;"Rainer";"Brüderle";"FDP";1945;339;M
;"Norbert";"Brüggemann";"FDP";1975;340;M
;"Regine";"Brüggemann";"DIE LINKE";1956;341;W
;"Klaus-Dieter";"Brügmann";"DIE LINKE";1951;342;M
;"Monika Minna Marie";"Brüning";"CDU";1951;343;W
;"Peter Klaus";"Brüsemeister";"DIE LINKE";1966;344;M
;"Wolfgang";"Bruhn";"NPD";1961;345;M
;"Peter Josef";"Brumann";"FAMILIE";1942;346;M
;"Doris";"Brummer";"CDU";1960;347;W
;"Sabine";"Brunke-Reubold";"GRÜNE";1969;348;W
;"Angelika";"Brunkhorst";"FDP";1955;349;W
;"Josef";"Brunner";"Freie Union";1950;350;M
"Dr.";"Karl Heinz";"Brunner";"SPD";1953;351;M
;"Eckhard Karl Alfred";"Bruns";"RRP";1944;352;M
;"Michael";"Bruns";"DIE LINKE";1973;353;M
;"Jörg";"Brunschweiger";"DIE VIOLETTEN";1979;354;M
;"Rosi";"Brunschweiger";"DIE VIOLETTEN";1951;355;W
;"Raffaela";"Bubendorfer";"FDP";1988;356;W
;"Klaus";"Bucher";"FDP";1968;357;M
;"Christine";"Buchholz";"DIE LINKE";1971;358;W
;"Conrad";"Buchholz";"FDP";1982;359;M
;"Doris";"Buchholz";"FDP";1959;360;W
;"Daniel";"Buchmann";"BüSo";1981;361;M
;"Sven";"Buchmann";;1979;362;M
"Prof. Dr.";"Klaus";"Buchner";"ödp";1941;363;M
;"Enrico";"Buchs";"FDP";1976;364;M
;"Bettina Dorothee";"Buchta";"MLPD";1960;365;W
;"Josef";"Buck";"MLPD";1961;366;M
;"Andreas";"Büchner";"NPD";1982;367;M
;"Manfred";"Büddemann";"DIE LINKE";1951;368;M
;"Katharina";"Büdel";"FDP";1951;369;W
;"Tim";"Bühner";"DIE LINKE";1978;370;M
;"Marco";"Bülow";"SPD";1971;371;M
;"Hans-Ulrich";"Bünger";"DIE LINKE";1940;372;M
;"Andreas";"Büschleb";"NPD";1972;373;M
;"Erika-Marika";"Büsing";"SPD";1964;374;W
;"Vesna";"Buljevic";"MLPD";1954;375;W
;"Peter";"Bulke";"REP";1939;376;M
;"Eva";"Bulling-Schröter";"DIE LINKE";1956;377;W
;"Edelgard";"Bulmahn";"SPD";1951;378;W
;"Andreas";"Bummel";"FDP";1976;379;M
"Dr.";"Martina";"Bunge";"DIE LINKE";1951;380;W
;"Ursula";"Burchardt";"SPD";1954;381;W
;"Ernst";"Burgbacher";"FDP";1949;382;M
"Dr.";"Thomas";"Burger";"SPD";1970;383;M
;"Max";"Burger-Heidger";"GRÜNE";1954;384;M
"Dr.";"Christian";"Burholt";"CDU";1972;385;M
;"Karin";"Burkart";"GRÜNE";1950;386;W
;"Boris";"Burkert";"GRÜNE";1961;387;M
;"Martin";"Burkert";"SPD";1964;388;M
;"Karl-Heinz";"Burkhardt";"DVU";1939;389;M
;"Franz Paul";"Burkowski";"PBC";1930;390;M
;"Erich Karl";"Burmeister";"DIE LINKE";1953;391;M
;"Andreas";"Burmester";"SPD";1978;392;M
;"Thomas Wolfgang";"Bursian";"FDP";1959;393;M
;"Yani";"Bursukis";"SPD";1945;394;M
;"Walter";"Busch-Hübenbecker";"DIE LINKE";1951;395;M
;"Marco";"Buschmann";"FDP";1977;396;M
;"Boris-Georg";"Bussche-Haddenhausen Freiherr von dem";"FDP";1966;397;M
;"Windfried";"Bußmann";"RENTNER";1951;398;M
;"Brigitte";"Butenschön";"MLPD";1949;399;W
;"Cajus Julius";"Caesar";"CDU";1951;400;M
;"Sylvia";"Canel";"FDP";1958;401;W
;"Immacolata";"Caravetta Glosemeyer";"SPD";1965;402;W
;"Hans-Werner";"Carlhoff";"CDU";1947;403;M
;"Richard Hermann";"Carls";"DVU";1931;404;M
;"Christian";"Carstensen";"SPD";1973;405;M
;"Olaf";"Caspary";"DVU";1967;406;M
"Dr.";"Lars";"Castellucci";"SPD";1974;407;M
;"Nicole";"Cayrol";"SPD";1980;408;W
;"Mario";"Christen";"ödp";1953;409;M
;"Rainer Helmar";"Christiansen";;1945;410;M
;"Heiner Leslie Otto";"Christinck";"FAMILIE";1946;411;M
;"Stefan";"Christoph";"GRÜNE";1988;412;M
;"Rainer";"Ciechoradzki";"ödp";1965;413;M
;"Volker";"Cigelski";"NPD";1953;414;M
;"Antje";"Claaßen";"DIE LINKE";1968;415;W
;"Bernhard";"Clasen";"DIE LINKE";1957;416;M
;"Roland";"Claus";"DIE LINKE";1954;417;M
;"Claus Christian";"Claussen";"CDU";1961;418;M
;"Stefan Georg";"Clemens";"FAMILIE";1959;419;M
;"Christine";"Coelho";"DIE VIOLETTEN";1964;420;W
;"Ingrid";"Cölsch";"DIE VIOLETTEN";1954;421;W
;"Gitta";"Connemann";"CDU";1964;422;W
;"Gabriele Maria";"Conrad";"MLPD";1960;423;W
;"Anna";"Conrads";"DIE LINKE";1979;424;W
;"Michael";"Conz";"FDP";1966;425;M
;"Florian";"Cordes";"NPD";1975;426;M
;"Walter";"Corné de";"Volksabstimmung";1944;427;M
;"Eva-Maria";"Corr";"FAMILIE";1956;428;W
;"Lino";"Coscia";;1988;429;M
;"Thorsten";"Crämer";"NPD";1975;430;M
;"Viola";"Cramon-Taubadel von";"GRÜNE";1970;431;W
;"Claus";"Cremer";"NPD";1979;432;M
;"Ruth";"Cremer-Ricken";"GRÜNE";1958;433;W
;"Petra";"Crone";"SPD";1950;434;W
;"Corinna";"Croy";"DIE LINKE";1982;435;W
;"Irfan";"Cüre";"DIE LINKE";1952;436;M
;"Jaroslav";"Curlisca";"BP";1953;437;M
;"Dieter";"Cwielong";"DIE LINKE";1957;438;M
;"Mechthild";"Czapp";"PIRATEN";1982;439;W
;"Michael";"Czech";"DKP";1955;440;M
;"Eberhard";"Czichon";"DKP";1930;441;M
;"Heinz";"Dabrock";"FAMILIE";1956;442;M
;"Margit";"Dänzer";"DIE VIOLETTEN";1955;443;W
;"Karl";"Däschner";"NPD";1954;444;M
;"Sevim";"Dagdelen";"DIE LINKE";1975;445;W
;"Monika";"Dahl";"DIE LINKE";1965;446;W
